sheet,group_id,series_a_name,series_b_name,start_x,end_x,length,A_trend,B_trend,trend_relation,A_start,A_end,B_start,B_end,A_slope,B_slope,direction_relative_error,slope_gap_norm,pearson_corr,similarity_score,similarity_level
Sheet1,1,Y_A,Y_B,0,6,7,升,降,A升B降,10.0,13.0,6.0,4.0,0.5,-0.3333,1.0,0.2778,-0.9158,0.1848,low
Sheet1,2,Y_A,Y_B,7,23,17,平,升,A平B升,12.0,12.0,4.0,6.0,0.0,0.125,1.0,0.0625,0.1996,0.2944,low
Sheet1,3,Y_A,Y_B,24,34,11,升,平,A升B平,13.0,14.0,6.0,6.0,0.1,0.0,1.0,0.1,,0.275,low
Sheet1,4,Y_A,Y_B,35,52,18,平,升,A平B升,14.0,14.0,7.0,8.0,0.0,0.0588,1.0,0.0588,,0.2853,low
Sheet1,5,Y_A,Y_B,53,71,19,升,升,A升B升,14.0,18.0,7.0,8.0,0.2222,0.0556,0.75,0.0417,0.8598,0.7951,high
Sheet1,6,Y_A,Y_B,72,81,10,平,降,A平B降,19.0,19.0,8.0,7.0,0.0,-0.1111,1.0,0.1111,0.0,0.2722,low
Sheet1,7,Y_A,Y_B,82,89,8,降,降,A降B降,19.5,18.0,7.0,6.0,-0.2143,-0.1429,0.3333,0.0476,0.5431,0.8819,high
Sheet1,8,Y_A,Y_B,90,100,11,升,升,A升B升,20.0,22.5,7.0,8.0,0.25,0.1,0.6,0.06,0.8333,0.8267,high
Sheet1,9,Y_A,Y_B,101,113,13,升,平,A升B平,22.0,23.0,8.0,8.0,0.0833,0.0,1.0,0.0833,0.5758,0.308,low
Sheet1,10,Y_A,Y_B,114,124,11,降,降,A降B降,19.0,14.0,6.0,4.0,-0.5,-0.2,0.6,0.06,0.9499,0.8325,high
Sheet1,11,Y_A,Y_B,125,142,18,升,升,A升B升,13.0,14.0,4.0,8.0,0.0588,0.2353,0.75,0.0441,0.6182,0.7824,high
Sheet1,12,Y_A,Y_B,143,158,16,平,平,A平B平,16.0,16.0,7.0,7.0,0.0,0.0,0.0,0.0,0.7137,0.6,medium
Sheet1,13,Y_A,Y_B,159,178,20,升,升,A升B升,13.0,26.0,4.0,8.0,0.6842,0.2105,0.6923,0.0364,0.9338,0.8145,high
Sheet1,14,Y_A,Y_B,179,188,10,平,升,A平B升,25.0,25.0,8.0,10.0,0.0,0.2222,1.0,0.1111,-0.2408,0.2602,low
Sheet1,15,Y_A,Y_B,189,195,7,降,降,A降B降,24.0,23.0,9.0,8.0,-0.1667,-0.1667,0.0,0.0,0.4714,0.9736,high
Sheet1,16,Y_A,Y_B,196,204,9,平,升,A平B升,24.0,24.0,10.0,12.0,0.0,0.25,1.0,0.125,0.3468,0.2861,low
Sheet1,17,Y_A,Y_B,205,217,13,降,降,A降B降,23.0,20.0,11.0,9.0,-0.25,-0.1667,0.3333,0.0278,0.8585,0.9027,high
Sheet1,18,Y_A,Y_B,218,231,14,平,降,A平B降,21.0,21.0,9.0,8.0,0.0,-0.0769,1.0,0.0769,0.2132,0.2914,low
Sheet1,19,Y_A,Y_B,232,260,29,降,降,A降B降,18.0,11.0,7.0,5.0,-0.25,-0.0714,0.7143,0.0255,0.9363,0.8119,high
Sheet1,20,Y_A,Y_B,261,266,6,降,降,A降B降,11.5,4.0,5.0,2.0,-1.5,-0.6,0.6,0.12,0.9977,0.8199,high
Sheet2,1,Y-A,Y-B,0,5,6,升,升,A升B升,42.0,73.0,37.0,54.0,6.2,3.4,0.4516,0.0903,0.9413,0.8616,high
Sheet2,2,Y-A,Y-B,6,10,5,降,平,A降B平,72.0,71.0,53.0,53.0,-0.25,0.0,1.0,0.25,-0.375,0.2188,low
